SiteID,SiteName,Project,TYPE,MGMT2,Stream,Drain_Density,Ave_Ann_CWD,Ave_Annual_Precip,Ave_Basin_Elev,MTBS_mod_sev_km2,MTBS_high_sev_km2,Harv_Intensity_High,Harv_Intensit_Med,Harv_Intensit_L,RoadLength_Km,RoadDens_km2,ShedAreakm2,PCT_HIGH_harv_int,PCT_MOD_harv_int,PCT_MTBS_mod,PCT_MTBS_high,Pct_NFS,MeanBF,MeanBankAn,MeanWDTran,MeanStab,Mgmt,MeanGrad,MeanPoolDp,MeanPoolFr,MeanD50,MeanPoolPc,MeanPTFine,MeanLWFrq,MeanUnCutP,,,,
87,020-01-I,CRB,I,M,Independence,1.38,276.23,1212.67,1253.87,0.00,0.00,0.00,1.10,0.40,23.44,0.72,32.54,0.00,3.39,0.00,0.00,99.45,10.29,98.25,24.47,93.03,Managed,1.30,0.41,38.92,0.04,48.52,11.46,576.96,44.45,,,,
88,020-02-I,CRB,I,M,West Gold,1.10,273.67,1145.55,1179.14,0.00,0.00,4.50,1.67,2.05,32.26,1.93,16.68,26.95,10.00,0.00,0.00,100.00,6.14,125.50,19.48,98.75,Managed,3.26,0.36,64.07,0.05,37.22,7.29,405.16,17.10,,,,
89,020-03-IS,CRB,IS,R,Emerson,1.39,307.23,1069.21,1174.71,0.00,0.00,0.34,0.00,0.00,4.46,0.39,11.47,2.93,0.02,0.00,0.00,100.00,4.75,102.00,14.33,95.96,Reference,1.98,0.23,60.97,0.04,32.73,16.72,158.84,39.12,,,,
90,020-04-I,CRB,I,R,Jordan,1.47,299.40,1179.68,1304.51,0.00,0.00,0.00,0.00,2.37,4.33,0.40,10.95,0.00,0.00,0.00,0.00,100.00,6.20,109.75,21.76,92.52,Reference,2.35,0.24,26.69,0.04,15.63,7.70,57.23,32.11,,,,
91,020-08-I,CRB,I,M,Brett,1.63,318.98,1161.84,1153.41,0.00,0.00,0.75,0.60,8.56,5.45,0.41,13.39,5.56,4.46,0.00,0.00,100.00,4.83,112.25,16.03,98.22,Managed,2.66,0.17,45.77,0.05,21.16,16.81,163.11,31.55,,,,
92,020-13-I,CRB,I,R,North,1.18,300.32,1039.36,1191.38,0.00,0.00,0.00,0.01,0.00,3.02,0.30,10.13,0.00,0.14,0.00,0.00,100.00,4.04,115.50,13.07,98.19,Reference,1.88,0.26,26.73,0.05,15.71,11.15,67.05,24.88,,,,
93,020-16-I,CRB,I,M,Trail,1.73,299.18,1242.14,1196.73,0.00,0.00,0.02,13.12,2.56,142.22,2.11,67.31,0.03,19.49,0.00,0.00,99.94,13.01,128.33,40.34,100.00,Managed,0.64,0.34,15.47,0.05,31.18,8.42,43.96,16.83,,,,
94,021-07-I,CRB,I,M,Laverne,1.77,328.34,1247.16,1082.29,0.00,0.00,0.01,3.40,0.53,98.67,5.55,17.78,0.04,19.14,0.00,0.00,100.00,6.12,118.00,19.88,99.48,Managed,1.73,0.24,29.36,0.07,22.24,6.34,83.94,24.89,,,,
95,021-08-I,CRB,I,M,W.F. Steamboat,1.77,328.49,1182.70,1111.60,0.00,0.00,7.04,6.38,5.78,60.80,2.04,29.80,23.62,21.42,0.00,0.00,98.81,7.05,131.00,23.62,97.62,Managed,1.73,0.21,33.06,0.09,24.03,5.42,75.60,14.35,,,,
96,021-10-I,CRB,I,M,Copper,1.57,335.81,1288.79,1080.50,0.00,0.00,1.31,7.46,1.64,105.36,2.93,35.94,3.66,20.77,0.00,0.00,99.55,7.54,129.00,23.01,98.42,Managed,0.80,0.46,24.64,0.08,33.84,19.62,139.78,14.42,,,,
97,021-15-I,CRB,I,M,Trib of Armstrong,1.40,353.14,1050.00,991.54,0.00,0.00,0.42,0.00,0.00,8.80,2.23,3.95,10.66,0.00,0.00,0.00,100.00,4.11,89.67,13.81,96.79,Managed,3.81,0.17,74.78,0.04,25.67,24.19,228.74,53.97,,,,
98,021-16-I,CRB,I,M,Bumblebee,1.83,359.73,1136.87,1003.72,0.00,0.00,1.18,1.82,1.01,49.00,3.38,14.50,8.15,12.58,0.00,0.00,99.83,5.20,113.25,18.09,93.92,Managed,1.24,0.38,39.73,0.04,32.80,15.57,90.20,27.49,,,,
99,021-19-I,CRB,I,M,Fourth of July,1.35,364.56,1072.06,960.41,0.00,0.00,5.05,1.67,1.73,71.59,1.85,38.73,13.04,4.31,0.00,0.00,89.69,7.52,127.75,24.93,100.00,Managed,0.89,0.52,40.10,0.04,57.99,8.53,143.33,15.08,,,,
100,021-20-I,CRB,I,M,Leiberg,1.52,324.67,1253.22,1092.84,0.00,0.00,0.02,5.97,0.66,77.06,2.47,31.23,0.06,19.12,0.00,0.00,100.00,6.86,132.00,22.71,100.00,Managed,1.42,0.37,25.02,0.08,27.96,6.86,85.95,10.33,,,,
101,022-09-I,CRB,I,M,Rampike,1.17,309.02,1192.30,1301.77,0.00,0.00,0.60,1.73,0.80,30.94,3.41,9.06,6.65,19.12,0.00,0.00,100.00,5.30,104.50,17.39,97.70,Managed,1.52,0.29,56.81,0.03,40.45,12.02,252.77,38.51,,,,
102,022-13-I,CRB,I,R,E.F. Lost,3.13,330.32,1171.65,1245.62,0.22,0.02,0.07,0.09,3.31,9.55,0.43,22.33,0.30,0.42,1.00,0.09,100.00,9.55,88.25,19.83,98.98,Reference,1.80,0.38,49.10,0.04,44.92,12.22,376.40,53.41,,,,
103,022-12-I,CRB,I,M,W.F. Eagle,1.03,308.29,1214.70,1333.62,8.16,3.18,3.25,1.08,2.70,58.73,1.42,41.42,7.85,2.60,19.69,7.67,99.36,10.79,108.00,22.61,97.63,Managed,1.61,0.51,20.95,0.08,26.12,2.65,168.48,35.87,,,,
104,023-04-I,CRB,I,M,Meadow,1.72,271.05,847.06,1207.94,0.00,0.00,9.31,19.14,3.49,63.45,1.08,58.52,15.91,32.70,0.00,0.00,82.27,6.27,107.75,15.00,96.59,Managed,1.10,0.27,46.34,0.06,39.53,10.53,112.31,34.81,,,,
105,023-09-I,CRB,I,M,Boulder,2.66,203.64,1145.22,1502.95,0.00,0.00,0.00,0.00,0.00,0.70,0.03,21.92,0.00,0.00,0.00,0.00,100.00,12.78,114.50,29.33,97.81,Managed,1.42,0.51,30.12,0.04,39.18,4.91,319.83,32.13,,,,
106,023-10-I,CRB,I,M,Pine,1.28,289.21,911.14,1208.29,0.03,0.01,2.31,5.66,1.64,30.31,0.77,39.60,5.82,14.30,0.07,0.01,93.83,6.04,88.50,13.92,99.38,Managed,1.11,0.25,64.26,0.05,56.63,12.42,666.63,50.75,,,,
107,024-01-I,CRB,I,M,American,1.07,119.64,1049.46,1793.02,0.00,0.00,0.35,2.85,0.71,16.14,0.62,26.04,1.35,10.93,0.00,0.00,100.00,9.31,90.00,23.58,99.43,Managed,1.77,0.33,24.96,0.07,19.92,4.33,720.66,53.51,,,,
108,024-02-I,CRB,I,M,E.F. Yaak,1.19,205.01,985.60,1643.50,4.55,1.48,8.22,2.58,4.12,88.96,2.37,37.50,21.92,6.88,12.13,3.94,100.00,5.74,95.00,20.86,97.69,Managed,1.99,0.30,46.83,0.06,40.03,6.54,508.23,48.00,,,,
109,024-03-I,CRB,I,M,Clay,1.06,254.67,1018.48,1392.01,0.00,0.00,3.07,2.11,0.31,42.08,1.43,29.46,10.44,7.15,0.00,0.00,96.07,6.25,96.00,21.08,97.59,Managed,1.43,0.37,48.99,0.06,47.09,8.47,408.34,50.12,,,,
110,024-04-I,CRB,I,M,Pete,0.99,261.57,771.94,1330.56,0.00,0.00,13.00,12.82,0.78,184.73,2.11,87.40,14.87,14.67,0.00,0.00,100.00,9.66,113.00,30.45,99.52,Managed,2.20,0.25,19.23,0.14,15.46,1.47,98.24,29.27,,,,
111,024-05-I,CRB,I,M,Spruce,1.36,186.92,885.15,1476.78,0.00,0.00,3.08,1.72,0.28,33.16,1.70,19.51,15.80,8.82,0.00,0.00,98.64,7.34,96.50,18.75,97.44,Managed,5.37,0.24,50.87,0.07,20.38,3.10,732.31,44.65,,,,
112,024-06-I,CRB,I,M,Canuck,0.99,161.65,951.82,1635.23,0.00,0.00,2.89,9.34,11.02,65.44,1.68,38.97,7.43,23.97,0.00,0.00,100.00,9.30,101.00,23.52,100.00,Managed,1.98,0.33,43.15,0.12,31.60,2.75,173.32,38.01,,,,
113,024-07-I,CRB,I,M,Beaver,0.89,249.97,961.29,1388.78,0.00,0.00,2.94,3.58,0.56,48.52,1.63,29.77,9.89,12.03,0.00,0.00,98.57,5.45,98.00,27.05,99.17,Managed,2.07,0.26,58.62,0.05,37.77,6.77,494.67,47.06,,,,
114,025-08-I,CRB,I,M,Logan,0.80,337.46,706.90,936.71,0.00,0.00,1.05,0.83,0.44,8.17,1.68,4.87,21.58,17.10,0.00,0.00,97.05,2.94,98.25,10.20,96.31,Managed,2.16,0.19,124.28,0.01,45.83,42.79,570.33,42.67,,,,
115,025-10-I,CRB,I,R,Ross,1.27,224.06,1482.93,1519.55,3.35,1.32,0.00,0.00,0.00,0.00,0.00,39.89,0.00,0.00,8.40,3.30,100.00,10.60,135.25,26.73,98.24,Reference,2.19,0.40,27.23,0.12,32.75,2.77,423.20,12.59,,,,
116,025-12-I,CRB,I,M,Gordon,1.52,284.37,916.54,1227.44,0.00,0.00,0.19,0.08,0.00,1.99,0.25,8.06,2.36,1.01,0.00,0.00,89.79,4.04,89.75,12.01,98.16,Managed,2.54,0.30,81.64,0.02,48.51,20.77,793.85,54.04,,,,
118,025-15-I,CRB,I,M,Dry,1.38,272.74,1122.78,1366.80,1.00,0.34,0.00,0.48,0.00,8.57,0.48,17.68,0.00,2.73,5.66,1.94,100.00,10.09,126.75,26.60,97.05,Managed,3.85,0.00,0.00,0.13,0.00,0.00,231.63,14.77,,,,
119,025-19-I,CRB,I,M,O'Brien,1.23,225.02,1156.85,1499.20,0.00,0.00,3.96,3.68,2.84,64.14,1.67,38.44,10.30,9.58,0.00,0.00,100.00,8.49,116.00,24.64,96.77,Managed,1.20,0.45,42.70,0.04,52.92,10.29,421.97,28.78,,,,
120,025-20-I,CRB,I,M,N. Callahan,1.77,220.32,1387.76,1468.55,0.00,0.00,0.53,0.03,0.39,14.89,0.17,88.34,0.60,0.04,0.00,0.00,100.00,19.61,126.67,29.85,94.49,Managed,2.57,0.37,39.74,0.14,33.95,1.24,243.32,24.12,,,,
121,026-01-I,CRB,I,M,E.F. Elk,2.27,281.39,1170.92,1296.05,0.00,0.00,0.37,0.53,0.77,40.43,0.73,55.11,0.68,0.96,0.00,0.00,98.81,11.06,102.25,28.27,95.06,Managed,0.67,0.44,20.33,0.04,42.53,17.04,153.58,38.60,,,,
122,026-04-I,CRB,I,M,W.F. Rock,1.37,289.55,1199.40,1398.90,0.00,0.00,0.20,1.09,0.25,32.71,2.16,15.12,1.32,7.23,0.00,0.00,96.48,4.74,122.00,14.83,96.31,Managed,2.99,0.27,71.72,0.05,46.30,13.88,175.63,17.86,,,,
123,026-07-I,CRB,I,M,Rock,1.56,227.78,1701.37,1642.17,0.00,0.00,0.00,0.33,0.00,9.25,0.22,41.19,0.00,0.80,0.00,0.00,98.92,12.91,126.25,21.17,98.79,Managed,2.47,0.48,11.30,0.13,17.61,2.07,345.74,13.51,,,,
124,027-07-I,CRB,I,M,Kilbrennan,1.22,290.70,882.37,1174.64,0.00,0.00,3.02,0.72,1.04,27.97,1.65,16.95,17.83,4.27,0.00,0.00,94.70,6.06,127.25,20.26,97.71,Managed,1.22,0.24,58.20,0.02,37.69,48.22,882.70,18.84,,,,
125,027-14-I,CRB,I,M,East Branch Big,1.33,250.40,857.39,1590.91,3.71,0.68,8.67,0.00,5.25,59.27,1.58,37.45,23.16,0.00,9.91,1.81,100.00,7.07,110.75,22.06,90.13,Managed,1.11,0.26,45.94,0.06,49.44,3.87,175.71,25.17,,,,
126,027-19-IS,CRB,IS,R,West Branch Big,1.12,248.38,899.58,1554.29,0.00,0.00,0.02,0.00,0.02,0.19,0.01,23.55,0.09,0.00,0.00,0.00,99.92,5.93,82.18,14.48,95.18,Reference,0.49,0.67,34.22,0.02,81.42,18.55,732.41,57.92,,,,
127,028-02-I,CRB,I,M,McGuire,0.72,235.62,925.24,1617.57,0.00,0.00,10.11,1.27,4.45,63.13,2.06,30.61,33.04,4.14,0.00,0.00,100.00,6.49,95.50,16.91,98.63,Managed,6.28,0.35,62.79,0.10,29.90,14.83,577.85,46.48,,,,
128,028-05-I,CRB,I,M,Wigwam,0.96,185.97,1515.16,1833.59,0.00,0.00,0.12,0.81,0.12,32.18,0.57,56.15,0.21,1.44,0.00,0.00,99.27,11.27,115.00,21.59,96.87,Managed,1.65,0.22,12.37,0.12,14.54,1.34,278.71,26.57,,,,
129,028-06-I,CRB,I,M,Weasel,0.95,200.25,1476.37,1774.24,2.79,3.75,0.37,0.88,0.31,25.83,0.79,34.58,1.06,2.53,8.07,10.85,94.29,10.11,97.00,19.65,96.99,Managed,1.25,0.00,0.00,0.06,0.00,0.00,398.22,43.95,,,,
130,028-12-I,CRB,I,M,Grave,1.26,200.94,1452.17,1756.63,0.80,0.35,0.46,1.32,0.28,31.37,0.45,69.75,0.66,1.90,1.15,0.51,100.00,12.40,119.75,23.99,98.81,Managed,2.40,0.39,20.40,0.11,26.16,1.71,273.06,21.81,,,,
131,028-13-I,CRB,I,M,Parsnip,1.03,258.99,723.94,1433.14,0.22,0.10,7.65,2.21,10.34,30.87,0.92,33.38,22.92,6.61,0.67,0.31,100.00,7.42,96.00,28.46,97.87,Managed,2.14,0.36,62.96,0.06,45.28,2.36,654.47,45.74,,,,
132,028-14-I,CRB,I,M,Sutton,0.89,246.35,927.15,1574.26,0.00,0.00,23.13,20.33,9.35,127.21,1.59,80.01,28.91,25.41,0.00,0.00,100.00,7.13,112.25,22.62,97.53,Managed,2.56,0.33,54.99,0.13,38.64,6.46,228.44,27.34,,,,
133,028-17-I,CRB,I,M,Pinkham,0.87,260.11,915.96,1577.61,0.00,0.00,12.36,34.17,2.52,126.66,1.79,70.60,17.51,48.40,0.00,0.00,100.00,11.55,106.00,26.99,88.49,Managed,0.78,0.56,43.43,0.03,59.30,16.42,902.63,32.91,,,,
134,029-02-I,CRB,I,M,Swamp,2.02,294.27,711.22,1474.72,0.00,0.00,23.04,9.76,4.29,98.83,2.00,49.36,46.68,19.76,0.00,0.00,97.53,7.31,106.50,19.87,94.89,Managed,1.50,0.22,65.50,0.07,43.69,7.48,207.74,34.08,,,,
135,029-06-IS,CRB,IS,M,Barron,1.10,335.59,602.48,1217.10,0.00,0.00,7.04,4.94,2.94,58.93,1.76,33.51,21.02,14.74,0.00,0.00,91.18,4.66,100.64,16.08,97.59,Managed,0.65,0.41,71.27,0.02,68.12,24.94,384.78,41.98,,,,
136,032-01-I,CRB,I,R,Graves,1.25,219.91,2125.31,1851.80,0.00,0.00,0.00,0.42,0.00,1.21,0.31,3.89,0.00,10.74,0.00,0.00,100.00,6.73,104.00,22.17,99.21,Reference,1.55,0.26,72.25,0.02,48.19,13.56,576.16,38.45,,,,
137,032-04-I,CRB,I,M,Cooper,1.26,296.46,1124.82,1498.28,0.00,0.00,2.53,0.79,0.48,28.58,0.70,40.87,6.19,1.93,0.00,0.00,99.98,9.61,135.25,22.31,96.28,Managed,1.83,0.64,15.61,0.08,18.98,3.21,229.86,5.84,,,,
138,032-12-I,CRB,I,M,Dry,2.74,347.77,884.16,1356.77,0.00,0.00,1.20,1.69,15.24,31.44,0.36,88.17,1.36,1.92,0.00,0.00,93.96,6.82,123.50,20.60,86.46,Managed,1.01,0.20,16.53,0.05,20.21,8.96,161.49,16.70,,,,
139,034-07-IS,CRB,IS,M,Little Thompson,3.13,359.13,687.56,1507.50,0.00,0.00,22.90,8.62,2.88,103.60,1.59,65.21,35.12,13.22,0.00,0.00,90.84,6.15,117.00,20.03,94.52,Managed,1.32,0.20,49.55,0.08,31.66,4.15,238.00,25.50,,,,
144,035-01-I,CRB,I,M,Smoke,1.30,318.31,867.15,1329.99,0.00,0.00,2.63,2.60,0.12,30.17,2.85,10.58,24.85,24.59,0.00,0.00,92.56,2.16,95.75,7.45,98.19,Managed,3.72,0.17,118.66,0.02,27.72,24.24,247.76,45.78,,,,
145,035-02-I,CRB,I,R,Lake,0.87,271.81,1103.98,1505.52,0.00,0.00,0.17,0.00,0.00,2.42,0.17,14.02,1.18,0.00,0.00,0.00,95.58,10.02,121.00,28.00,99.43,Reference,3.44,0.33,58.95,0.07,37.12,9.18,1178.39,20.39,,,,
147,035-04-I,CRB,I,M,Miller,1.27,325.82,900.20,1301.31,0.00,0.00,0.14,0.98,0.09,10.57,0.96,10.99,1.23,8.93,0.00,0.00,100.00,4.20,114.75,15.49,99.43,Managed,1.95,0.28,57.48,0.04,29.48,11.87,181.14,24.66,,,,
148,035-06-I,CRB,I,M,Silver Butte Fisher,1.17,300.75,981.91,1428.84,0.00,0.00,2.06,1.99,0.07,22.64,0.24,95.92,2.15,2.08,0.00,0.00,96.03,12.82,133.25,29.27,99.43,Managed,0.79,0.44,17.85,0.07,34.51,4.78,54.54,13.50,,,,
149,035-08-I,CRB,I,M,West Fisher,1.01,283.01,1267.31,1476.85,0.00,0.00,3.11,1.10,0.47,44.20,0.98,45.07,6.90,2.45,0.00,0.00,94.86,13.81,131.00,33.46,98.91,Managed,1.21,0.53,14.48,0.06,20.32,4.47,228.11,15.44,,,,
150,036-02-I,CRB,I,M,Kelsey,1.27,330.60,592.27,1399.30,0.00,0.00,1.41,0.00,0.04,4.26,1.12,3.80,36.96,0.00,0.00,0.00,100.00,1.88,95.67,7.13,100.00,Managed,4.38,0.16,111.31,0.02,30.27,44.69,234.02,46.76,,,,
151,036-06-I,CRB,I,M,Calx,1.02,288.75,615.28,1429.29,0.00,0.00,3.17,0.81,0.38,32.47,3.29,9.87,32.07,8.20,0.00,0.00,99.95,3.36,105.00,12.04,100.00,Managed,2.84,0.21,86.50,0.03,37.67,14.36,265.77,36.64,,,,
152,036-09-I,CRB,I,M,Cow,1.33,307.25,610.13,1418.58,0.00,0.00,6.14,4.33,0.55,51.91,1.87,27.79,22.10,15.59,0.00,0.00,91.66,3.39,90.50,8.33,97.59,Managed,2.82,0.22,61.92,0.04,29.65,18.60,317.36,49.94,,,,
153,036-13-I,CRB,I,M,Little Wolf,1.16,338.35,565.41,1409.48,0.00,0.00,2.21,0.65,0.35,13.98,0.93,15.37,14.41,4.22,0.00,0.00,66.68,3.76,93.50,10.57,99.38,Managed,3.30,0.20,64.60,0.10,27.74,29.20,386.34,45.88,,,,
154,036-15-I,CRB,I,M,Dry Fork,1.17,293.23,677.87,1511.29,0.00,0.00,5.42,0.65,0.40,16.30,0.89,18.30,29.63,3.55,0.00,0.00,100.00,5.12,107.00,14.98,95.33,Managed,3.29,0.26,56.71,0.08,24.62,3.16,333.76,38.38,,,,
155,036-19-I,CRB,I,M,Fish,0.41,322.03,651.53,1519.97,0.00,0.00,1.39,0.26,0.00,9.71,1.50,6.48,21.52,3.94,0.00,0.00,60.62,2.60,98.33,8.20,96.03,Managed,4.41,0.15,82.13,0.06,24.77,10.40,321.71,43.41,,,,
156,037-01-I,CRB,I,M,Evers,1.30,297.94,622.29,1616.82,0.00,0.00,0.43,0.50,0.00,6.04,1.75,3.46,12.48,14.43,0.00,0.00,100.00,1.88,91.25,6.87,96.40,Managed,5.55,0.15,100.60,0.05,26.33,42.05,379.70,49.94,,,,
157,037-02-I,CRB,I,M,Squaw Meadows,1.10,320.35,635.34,1527.55,0.00,0.00,15.64,0.67,0.16,38.23,0.97,39.40,39.70,1.71,0.00,0.00,89.33,4.52,103.00,9.18,91.00,Managed,0.43,0.37,65.83,0.03,75.08,21.01,392.76,37.68,,,,
158,037-03-I,CRB,I,M,Martin,1.42,304.96,684.56,1488.25,0.00,0.00,9.18,5.92,0.28,93.42,2.62,35.66,25.74,16.60,0.00,0.00,100.00,5.00,100.00,9.80,96.27,Managed,0.41,0.62,53.84,0.00,69.27,79.17,881.11,39.35,,,,
159,037-04-I,CRB,I,M,Alder,1.55,294.17,698.66,1579.07,0.00,0.00,2.65,2.42,0.81,39.54,1.95,20.28,13.09,11.93,0.00,0.00,100.00,4.11,82.25,9.05,97.53,Managed,1.05,0.36,55.39,0.02,49.39,49.57,621.68,61.85,,,,
160,037-06-IS,CRB,IS,M,Griffin,1.01,307.42,683.95,1592.81,0.00,0.00,10.48,0.25,0.85,37.72,0.88,42.91,24.43,0.58,0.00,0.00,72.29,5.65,94.71,13.83,94.76,Managed,0.75,0.37,74.66,0.04,67.99,12.87,290.98,47.62,,,,
163,037-08-I,CRB,I,M,Miller,1.49,321.04,617.29,1462.08,0.00,0.00,1.72,4.05,0.43,33.22,2.07,16.02,10.71,25.28,0.00,0.00,100.00,2.89,90.50,8.60,98.81,Managed,1.70,0.26,88.04,0.02,37.21,40.97,394.76,52.04,,,,
164,037-10-I,CRB,I,M,Reid,1.10,332.13,581.63,1435.81,0.00,0.00,2.90,0.85,0.95,22.14,2.10,10.53,27.51,8.07,0.00,0.00,95.16,2.40,85.00,5.82,86.91,Managed,1.45,0.19,121.26,0.00,61.18,65.64,280.87,55.33,,,,
165,037-16-I,CRB,I,M,Good,1.23,288.62,717.92,1573.96,0.00,0.00,14.53,7.31,2.95,121.38,1.78,68.27,21.28,10.70,0.00,0.00,98.23,9.33,105.75,18.50,98.61,Managed,1.38,0.41,24.68,0.11,32.29,25.77,303.43,36.42,,,,
166,037-18-I,CRB,I,M,Sheppard,1.27,303.20,657.43,1539.06,0.00,0.00,33.32,11.62,2.42,110.82,1.26,87.83,37.94,13.23,0.00,0.00,96.81,7.60,88.00,6.78,94.44,Managed,0.01,1.78,17.62,0.00,96.04,99.77,154.94,46.83,,,,
167,038-02-I,CRB,I,M,Ketchikan,1.53,243.35,1139.16,1666.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.24,0.00,0.00,0.00,0.00,100.00,2.90,103.50,8.82,95.32,Managed,1.48,0.24,80.88,0.04,53.00,9.70,48.00,38.10,,,,
168,038-03-I,CRB,I,M,Big,1.12,258.23,1254.18,1723.96,0.00,0.00,1.03,1.61,0.76,37.84,0.92,41.28,2.50,3.90,0.00,0.00,100.00,8.87,107.75,20.09,98.84,Managed,2.34,0.29,35.82,0.09,36.80,6.27,582.39,36.02,,,,
169,038-04-I,CRB,I,M,No Name,1.17,276.91,1166.53,1659.42,0.00,0.00,0.00,0.00,0.00,3.30,0.81,4.07,0.00,0.00,0.00,0.00,100.00,3.11,82.00,9.89,99.31,Managed,1.26,0.27,104.20,0.00,49.17,77.40,538.04,56.27,,,,
170,038-06-I,CRB,I,R,Shorty,1.48,172.11,1621.52,1933.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.14,0.00,0.00,0.00,0.00,99.94,5.92,95.00,15.90,96.79,Reference,0.82,0.37,78.15,0.02,76.37,18.96,653.23,45.65,,,,
171,038-07-I,CRB,I,M,Colts,1.91,260.97,1042.69,1582.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.56,0.00,0.00,0.00,0.00,100.00,2.85,99.75,10.22,99.38,Managed,2.73,0.15,93.19,0.02,38.82,30.92,304.89,39.29,,,,
172,038-10-I,CRB,I,M,Hornet,1.01,283.19,1048.99,1626.57,0.00,0.00,0.98,0.09,0.06,6.07,1.08,5.61,17.47,1.62,0.00,0.00,100.00,1.87,101.25,8.05,99.38,Managed,3.50,0.13,124.81,0.01,40.83,58.84,195.31,36.10,,,,
173,038-11-I,CRB,I,M,Tepee,1.11,276.43,1100.52,1573.88,0.00,0.00,4.71,5.33,0.17,22.26,0.59,37.43,12.59,14.23,0.00,0.00,95.13,4.04,101.25,11.73,98.37,Managed,1.90,0.24,55.04,0.06,32.73,14.27,168.74,37.20,,,,
174,038-12-I,CRB,I,M,S.F. Coal,0.86,227.51,1337.21,1787.63,0.00,0.00,1.46,1.38,0.85,19.32,0.51,39.53,3.69,3.48,0.00,0.00,95.88,8.70,105.67,19.90,95.10,Managed,1.73,0.27,25.68,0.11,24.75,2.37,166.14,40.53,,,,
