site_id,AUG_ET_2000-2015_CPG_all,awc_int_100_CPG_all,BaseflowIndex_CPG_all,clay_100_CPG_all,dwta_CPG_all,fac_taudem_17all_int,hydrogrpA_100_CPG_all,hydrogrpB_100_CPG_all,hydrogrpC_100_CPG_all,hydrogrpD_100_CPG_all,impermeable_100_CPG_all,JUL_ET_2000-2015_CPG_all,nlcd_2011_Forest_100_CPG_all,nlcd_2011_Wetlands_100_CPG_all,permeable_100_CPG_all,sand_100_CPG_all,SEP_ET_2000-2015_CPG_all,silt_100_CPG_all,slope_percent_int_CPG_all,streamslope_percent_int_CPG_all,SWE_AVG_0301_CPG_all,SWE_AVG_0401_CPG_all,SWE_AVG_0501_CPG_all,SWE_AVG_0601_CPG_all,SWE_AVG_0701_CPG_all,SWE_AVG_0801_CPG_all,TWI_100_int_CPG_all,US_Precip_1981-2010_CPG_all,US_TMAX_1981-2010_int_CPG_all,site_name,project,type,mgmt2,stream,drain_dens,ave_ann_cw,ave_annual,ave_basin_,mtbs_mod_s,mtbs_high_,harv_inten,harv_int_1,harv_int_2,road_lengt,road_dens_,shed_areak,pct_high_h,pct_mod_ha,pct_mtbs_m,pct_mtbs_h,pct_nfs,mean_bf,mean_bank_,mean_wd_tr,mean_stab,mgmt,mean_grad,mean_pool_,mean_pool1,mean_d50,mean_poo_1,mean_pt_fi,mean_lw_fr,mean_un_cu,precip_cut,shed_cut,spatial_cl,normalize_,all_harves,higher_tha,residuals,MAP_UNIT_N,MAP_UNIT_D,MAP_UNIT_S,all_fire,utm1,utm2
136,84,7,71,899,201,4892,0,100,0,0,100,108,94,0,0,5944,21,3060,41,16,437,522,469,174,30,0,682,213543,703,032-01-I,CRB,I,R,Graves,1.25,219.91,2125.31,1851.8,0,0,0,0.42,0,1.21,0.31,3.89,0,10.74,0,0,100,6.73,104,22.17,99.21,Reference,1.55,0.26,72.25,0.02,48.19,13.56,576.16,38.45,"(1.87e+03,2.13e+03]","[1.11,25.4]",3,3.16659687293,10.74,Low Harvest,1.23068434274,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1447381.0057716987,2896537.3749267794
137,107,7,68,753,201,45366,21,79,0,0,94,134,94,0,6,5919,36,3221,46,31,417,459,352,103,9,0,648,111848,946,032-04-I,CRB,I,M,Cooper,1.26,296.46,1124.82,1498.28,0,0,2.53,0.79,0.48,28.58,0.7,40.87,6.19,1.93,0,0,99.98,9.61,135.25,22.31,96.28,Managed,1.83,0.64,15.61,0.08,18.98,3.21,229.86,5.84,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,8.54358919649,8.12,Low Harvest,0.658021299327,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1475614.042471303,2880482.912351398
288,91,6,71,869,201,16232,5,95,0,0,100,119,95,0,0,6492,32,2587,30,18,487,552,447,134,10,0,681,128990,936,060-03-I,CRB,I,M,North,2.95,360.95,1368.9,1787.19,0,0,0.2,0.01,0,2.43,0.16,14.89,1.33,0.04,0,0,100,6.04,78.5,13.66,97.07,Managed,2.61,0.3,68.4,0.02,49,36.31,1038.92,62.67,"(1.35e+03,1.61e+03]","[1.11,25.4]",1,4.4123018482,1.37,Low Harvest,-0.887796102516,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1416661.5555663956,2777212.28523112
291,102,6,71,1026,201,18747,0,100,0,0,97,133,92,0,3,6003,41,2972,38,27,393,416,287,58,0,0,651,98614,1029,060-10-I,CRB,I,M,Cloudburst,1.29,391.83,966.2,1638.71,0,0,0.9,0.03,0.05,10.7,0.62,17.31,5.18,0.17,0,0,100,3.32,87.33,10.01,91.88,Managed,3.53,0.18,26.25,0.06,11.19,13.87,224.88,53.02,"(839,1.1e+03]","[1.11,25.4]",1,3.43614158559,5.35,Low Harvest,-2.24957102735,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1406998.1217404304,2778958.138973335
299,81,6,72,1013,201,26474,0,100,0,0,100,112,71,0,0,6223,23,2764,40,26,278,268,141,11,0,0,639,82179,1077,061-08-I,CRB,I,M,S.F. Petty,1.49,409.22,829.99,1554.81,0,0,1.2,0,0,13.85,0.58,23.76,5.05,0,0,0,100,5.28,123.75,22.37,99.41,Managed,1.55,0.27,63.33,0.03,46.11,6.65,172.96,18.54,"[582,839]","[1.11,25.4]",1,6.36152242798,5.05,Low Harvest,-0.135186073153,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1403784.8777175548,2786725.857636845
301,78,6,72,939,201,50685,0,100,0,0,100,109,73,1,0,6581,21,2479,45,28,265,243,131,9,0,0,635,97764,1042,062-04-I,CRB,I,M,Burdette,2.42,396.4,969.83,1588.22,0,0,0,0,0,3.55,0.08,45.65,0,0,0,0,99.99,4.02,111.25,17.04,98.37,Managed,1.2,0.36,59.58,0.03,53.43,20.47,129.74,32,"(839,1.1e+03]","(25.4,49.8]",1,4.14505635008,0,Low Harvest,-4.0237343335,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1417718.7518979486,2786366.502541993
302,99,9,74,1116,201,67395,14,86,0,0,99,127,74,0,1,4291,37,4556,49,29,596,705,690,351,70,1,648,168176,889,062-10-IS,CRB,IS,R,N.F. Fish,1.37,338.33,1692.1,1728.3,0.73,0.18,0,0,0,0,0,60.65,0,0,1.2,0.29,100,11.3,119.33,33.38,95.13,Reference,1.57,0.34,22.78,0.08,28.05,5.09,330.4,27.45,"(1.61e+03,1.87e+03]","(49.8,74.1]",1,6.67809231133,0,Low Harvest,-2.29108952763,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,1.49,-1430556.5123889414,2801916.320948118
303,100,9,72,1135,201,66270,15,85,0,0,99,129,70,0,0,4043,35,4775,43,27,679,813,775,372,71,0,671,161119,902,062-11-I,CRB,I,R,W.F. Fish,1.04,340,1624.64,1759.76,0.94,1.87,0,0,0,0,0,59.61,0,0,1.58,3.14,100,15.07,105.75,29.63,99.41,Reference,1.35,0.71,11.99,0.08,22.09,7.7,783.81,38.17,"(1.61e+03,1.87e+03]","(49.8,74.1]",1,9.27590112271,0,Low Harvest,0.351008431699,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,4.72,-1431363.8488289847,2795128.3061837186
306,129,7,73,830,201,114845,0,100,0,0,100,150,94,0,0,5937,55,3166,41,25,262,231,115,15,0,0,645,95795,1044,063-09-I,CRB,I,M,Twelvemile,5.01,356.84,955.99,1424.09,0,0,7.69,6.08,4.32,123.24,1.19,103.15,7.46,5.9,0,0,100,8.93,119.25,17.1,98.8,Managed,1.15,0.48,27.72,0.07,45.79,4.37,144.99,31.66,"(839,1.1e+03]","(98.5,123]",3,9.34110189437,13.36,Low Harvest,-0.91505291802,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1453198.0339786597,2856985.141322883
307,128,8,74,1038,200,120173,0,100,0,0,97,150,87,0,3,4957,55,3939,48,31,455,505,393,145,24,0,646,114706,1010,063-11-I,CRB,I,M,Little Joe,4.23,343.56,1156.74,1494.78,0,0,9.86,6.81,5.15,133.27,1.23,107.92,9.14,6.31,0,0,100,10.25,119,27.05,96.54,Managed,1.19,0.48,22.56,0.06,42.33,7.92,282.86,29.39,"(1.1e+03,1.35e+03]","(98.5,123]",1,8.86110967028,15.45,Low Harvest,-1.5108002538,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1445310.92275678,2844422.4350504493
308,112,8,68,882,201,52979,40,60,0,0,90,135,79,0,10,4534,39,4507,40,24,509,597,515,176,16,0,667,124904,919,063-12-I,CRB,I,M,St. Regis,2.37,303.54,1256.72,1531.35,0,0,2.64,0.12,0.26,51.98,1.09,47.88,5.52,0.26,0,0,95.94,11.99,105.25,32.77,96.92,Managed,1.24,0.37,18.49,0.06,29.7,6.52,203.76,37.44,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,9.54070914762,5.78,Low Harvest,1.24979176966,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1479350.293492308,2867245.2809755853
311,138,9,68,481,160,24626,0,100,0,0,25,151,95,0,75,5897,61,3565,44,29,418,461,325,87,2,0,628,118609,1099,064-01-I,CRB,I,M,Bird,1.54,367.16,1171.9,1294.92,0,0,1.38,7.31,1.75,44.47,2.01,22.13,6.25,33.04,0,0,100,7.21,112.5,21.65,100,Managed,1.93,0.39,35.35,0.04,33.77,22.25,357.01,33.22,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,6.15240208209,39.29,High Harvest,-0.162325167326,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1481482.5238956905,2851175.0911956914
312,112,9,73,438,105,34891,0,100,0,0,100,133,75,0,0,5737,43,3717,43,30,789,957,918,485,101,0,651,136203,920,064-02-I,CRB,I,M,Red Ives,1.91,331.88,1361.09,1624.67,0,0,0,0.46,0.49,17.37,0.55,31.39,0,1.48,0,0,100,6.93,122.5,17.27,97.84,Managed,2.21,0.53,24.31,0.1,24.38,2.04,103.52,20.69,"(1.35e+03,1.61e+03]","(25.4,49.8]",1,5.09150754175,1.48,Low Harvest,-2.1182961993,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1465797.6407006835,2823960.9333666977
313,116,9,73,445,108,110254,0,100,0,0,84,136,78,0,16,5742,44,3703,42,27,690,827,753,344,66,0,656,131805,937,064-04-I,CRB,I,M,Simmons,1.61,329.35,1311.85,1615.34,0,0,3.22,3.98,2.78,92.85,0.94,99.24,3.24,4.01,0,0,100,12.77,122.5,27.45,99.42,Managed,1.9,0.43,17.86,0.17,25.58,2.24,132.72,20.23,"(1.1e+03,1.35e+03]","(98.5,123]",1,9.73434462782,7.25,Low Harvest,-0.422860114796,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1468346.7835242343,2833381.672694919
314,99,10,74,394,55,50154,0,100,0,0,51,122,80,0,49,5671,33,3793,34,19,826,1016,1054,691,203,8,684,165627,821,064-05-I,CRB,I,M,St. Joe,1.3,314.74,1635.53,1789.17,0,0,0,0,0.71,17.53,0.39,45.16,0,0,0,0,100,10.85,115.75,19.73,94.38,Managed,1.18,0.31,14.41,0.09,28.32,1.99,170.37,25.61,"(1.61e+03,1.87e+03]","(25.4,49.8]",1,6.63393517698,0,Low Harvest,-1.5072216832,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1454580.447299327,2820090.16196929
315,114,10,68,421,92,29950,0,100,0,0,100,134,75,0,0,5695,41,3769,48,33,700,838,765,356,65,1,641,125083,973,064-06-I,CRB,I,R,Mosquito,2.01,324.24,1254.85,1551.96,0.3,0.06,0,0,0,5.61,0.21,26.97,0,0,1.13,0.21,98.86,7.1,129,21.79,95.38,Reference,1.69,0.31,44.33,0.08,44.61,6.97,35.99,17.3,"(1.1e+03,1.35e+03]","(25.4,49.8]",1,5.6580467785,0,Low Harvest,-1.23602638097,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,1.34,-1471197.881626378,2834279.7400112785
316,101,10,74,380,53,18927,0,100,0,0,66,122,64,0,34,5580,33,3890,38,21,779,949,949,525,111,0,665,141947,855,064-08-I,CRB,I,M,Heller,1.59,318.2,1382.24,1732.19,0,0,0,0,5.59,4.39,0.26,17,0,0,0,0,100,6.19,131.75,21.79,98.18,Managed,1.75,0.3,31.15,0.08,28.26,4.76,85.66,13.06,"(1.35e+03,1.61e+03]","[1.11,25.4]",1,4.47823822202,0,Low Harvest,-1.16120144463,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1456837.5721434248,2822809.937828262
317,103,10,73,395,55,36167,0,100,0,0,100,127,75,0,0,5693,36,3771,42,25,854,1046,1068,691,202,11,652,148368,890,064-10-I,CRB,I,M,Bean,1.35,323.41,1453.39,1693.11,0,0,0,0,0,2.49,0.08,32.63,0,0,0,0,100,8.79,106.75,16.56,98.81,Managed,2.29,0.47,29.07,0.11,24.21,2.27,102.72,33.04,"(1.35e+03,1.61e+03]","(25.4,49.8]",1,6.04792932386,0,Low Harvest,-1.2610796755,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1462227.1516418508,2816998.2533934917
